Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
СОБАЛ ВИЗУС ЕООД СОФИЯ,София (столица),СОФИЯ 17 рн ВИТОША,СОФИЯ 17 рн ВИТОША,ул. Миле Попйорданов 18,"ВИОЛЕТА СИЛВИ ЧЕРНОДРИНСКА, Д-Р ГЕНОВЕВА ИВАНОВА АЛЕКСИЕВА, ДОЦ.Д-Р ВИОЛЕТА СИЛВИ ЧЕРНОДРИНСКА","8576936, 8576937",ул. Миле Попйорданов 18,СОФИЯ 17 рн ВИТОША,18,Миле Попйорданов,"ул. Миле Попйорданов 18, СОФИЯ 17 рн ВИТОША, България",,,,,0
СОБАЛ ПЕНТАГРАМ ЕООД СОФИЯ,София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ; СОФИЯ 12 рн ИЛИНДЕН,СОФИЯ 03 рн ВЪЗРАЖДАНЕ; СОФИЯ 12 рн ИЛИНДЕН,"ГР. СОФИЯ, УЛ. ""ДИМИТЪР ПЕТКОВ"" 11; ул. Враня 109-111, секция “Б”",Д-Р ВЕСЕЛИН ТОДОРОВ ДАСКАЛОВ,"02/4472040, 0887777465","ГР. СОФИЯ, УЛ. ""ДИМИТЪР ПЕТКОВ"" 11; ул. Враня 109-111, секция “Б”",СОФИЯ 03 рн ВЪЗРАЖДАНЕ; СОФИЯ 12 рн ИЛИНДЕН,,"ГР. СОФИЯ, УЛ. ""ДИМИТЪР ПЕТКОВ""","ГР. СОФИЯ, УЛ. ""ДИМИТЪР ПЕТКОВ"" 11; ул. Враня 109-111, секция “Б”, СОФИЯ 03 рн ВЪЗРАЖДАНЕ; СОФИЯ 12 рн ИЛИНДЕН, България",,,,,0
СОБАЛ Ралчовски ЕООД Враца,Враца,ВРАЦА,Враца,"бул. ""Демокрация"" 14, ; ул. ""Вежен"" 2А",ПЕТЪР НИКОЛОВ НИКОЛОВ,"092/621102, 0888/889757","бул. ""Демокрация"" 14, ; ул. ""Вежен"" 2А",Враца,2А,"""Демокрация""","бул. ""Демокрация"" 14, ; ул. ""Вежен"" 2А, Враца, България",,,,,0
СХБАЛ Амброаз Паре ООД,Сливен,СЛИВЕН,Сливен,"кв. Даме Груев, бул. Хаджи Димитър 68","Д-Р НИКОЛАЙ КОНСТАНТИНОВ КОНСУЛОВ, Д-Р ВЕСЕЛИН ПАСКОВ ВАСИЛЕВ","044/662524, 044/662668","кв. Даме Груев, бул. Хаджи Димитър 68",Сливен,68,"кв. Даме Груев, бул. Хаджи Димитър","кв. Даме Груев, бул. Хаджи Димитър 68, Сливен, България",,,,,0
Специализирана Болница за Активно Лечение на Очни Болести ПРОСПЕРИТАСООД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,"кв. „Триадица“, ул. „Неофит Рилски“ 7",ВЕСЕЛИН ИВАНОВ ТАНЕВ,,"кв. „Триадица“, ул. „Неофит Рилски“ 7",СОФИЯ 10 рн ТРИАДИЦА,7,"кв. „Триадица“, ул. „Неофит Рилски“","кв. „Триадица“, ул. „Неофит Рилски“ 7, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
УМБАЛ АЛЕКСАНДРОВСКА ЕАД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,"ул. ""Св. Георги Софийски"" 1","АСЕН АТАНАСОВ ЗЛАТЕВ, ПРОФ.Д-Р ЛЪЧЕЗАР ДИНКОВ ТРАЙКОВ, ДОЦ. Д-Р КОСТАДИН ГЕОРГИЕВ АНГЕЛОВ, ДМ, ПРОФ.Д-Р БОРИС ИЛИЕВ БОГОВ, ДОЦ. Д-Р ДИМИТЪР ИВАНОВ БУЛАНОВ, АТАНАС ГЕОРГИЕВ АТАНАСОВ, ПРОФ. Д-Р АТАНАС СТЕФАНОВ ЙОНКОВ","92030810, 9230646","ул. ""Св. Георги Софийски"" 1",СОФИЯ 10 рн ТРИАДИЦА,1,"""Св. Георги Софийски""","ул. ""Св. Георги Софийски"" 1, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
УМБАЛ Пълмед ООД,Пловдив,ПЛОВДИВ,Пловдив,р-н Западен ул. ПЕРУЩИЦА 1А,"СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ, ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ, ИВАН ЯНЧЕВ МАДЖАРОВ, Д-Р ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ",032/607300,р-н Западен ул. ПЕРУЩИЦА 1А,Пловдив,1А,р-н Западен ул. ПЕРУЩИЦА,"р-н Западен ул. ПЕРУЩИЦА 1А, Пловдив, България",,,,,0
УМБАЛ СВ. ИВАН РИЛСКИ ЕАД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,"р-н Триадица бул. ""Акад. Ив. Гешов"" 15","НИКОЛАЙ РУМЕНОВ СТОИЛОВ, Д-Р РУМЕН МАЛИНОВ СТОИЛОВ, Д-Р ДЕЧО ПЕТРОВ ДЕЧЕВ, МАРИЕТА РАЙКОВА ЙОТИНСКА, Д-Р АНТОН ПЕТКОВ ПЕТКОВ","9521532, 9522018","р-н Триадица бул. ""Акад. Ив. Гешов"" 15",СОФИЯ 10 рн ТРИАДИЦА,15,"р-н Триадица бул. ""Акад. Ив. Гешов""","р-н Триадица бул. ""Акад. Ив. Гешов"" 15, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
УМБАЛ СОФИЯМЕД ООД,София (столица),СОФИЯ 08 рн ИЗГРЕВ; СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 08 рн ИЗГРЕВ; СОФИЯ 15 рн МЛАДОСТ,"бул. ”Г.М.Димитров” 16; ул. ""Димитър Моллов"" 10, бул. „Джавахарлал Неру“ 23 и ул. „Ганчо Ганчев“ 1","Д-Р ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ, Д-Р БОЙКО МАРИНОВ ПЕНКОВ, Д-Р МИХАИЛ КИРИЛОВ ЗОРТЕВ, Д-Р ЕВГЕНИЙ ЖЕЛЕВ ЖЕЛЕВ",0893333399,"бул. ”Г.М.Димитров” 16; ул. ""Димитър Моллов"" 10, бул. „Джавахарлал Неру“ 23 и ул. „Ганчо Ганчев“ 1",СОФИЯ 08 рн ИЗГРЕВ; СОФИЯ 15 рн МЛАДОСТ,1,”Г.М.Димитров”,"бул. ”Г.М.Димитров” 16; ул. ""Димитър Моллов"" 10, бул. „Джавахарлал Неру“ 23 и ул. „Ганчо Ганчев“ 1, СОФИЯ 08 рн ИЗГРЕВ; СОФИЯ 15 рн МЛАДОСТ, България",,,,,0
УМБАЛ ЦАРИЦА ЙОАННА-ИСУЛ ЕАД СОФИЯ,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,"ул. ""Бяло море"" 8","ЛЮБОМИР ЛЮБЧОВ ПЕНЕВ, БОЙКО ГЕОРГИЕВ КОРУКОВ, ДОЦ. Д-Р ГРИГОРИЙ ИВАНОВ НЕДЕЛКОВ",9432121,"ул. ""Бяло море"" 8",СОФИЯ 04 рн ОБОРИЩЕ,8,"""Бяло море""","ул. ""Бяло море"" 8, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
УМБАЛ „СВЕТА ЕКАТЕРИНА“ ЕАД,София (столица),СОФИЯ 10 рн ТРИАДИЦА; СОФИЯ 12 рн ИЛИНДЕН,СОФИЯ 10 рн ТРИАДИЦА; СОФИЯ 12 рн ИЛИНДЕН,"р-н Триадица бул. ""Пенчо Славейков"" 52 А; ул. Коньовица 65","ДИМИТЪР ГЕОРГИЕВ ПЕТКОВ, ПРОФ. Д-Р ГЕНЧО КРЪСТЕВ НАЧЕВ, НИКОЛАЙ ГРИГОРОВ ДИМИТРОВ, ВАЛЕНТИН СТЕФАНОВ ГОВЕДАРСКИ","070012131, 029059404","р-н Триадица бул. ""Пенчо Славейков"" 52 А; ул. Коньовица 65",СОФИЯ 10 рн ТРИАДИЦА; СОФИЯ 12 рн ИЛИНДЕН,65,"р-н Триадица бул. ""Пенчо Славейков""","р-н Триадица бул. ""Пенчо Славейков"" 52 А; ул. Коньовица 65, СОФИЯ 10 рн ТРИАДИЦА; СОФИЯ 12 рн ИЛИНДЕН, България",,,,,0
УМБАЛСМ Н.И. ПИРОГОВ ЕАД СОФИЯ,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,"р-н Красно село бул. ""Тотлебен"" 21","ВАЛЕНТИН ДИМИТРОВ ДИМИТРОВ, Д-Р СПАС НИКОЛОВ СПАСКОВ, ПРОФ.Д-Р ДИМИТЪР РАДКОВ РАДЕНОВСКИ, ДОЦ. Д-Р СТОЯН ГЕОРГИЕВ МИЛАНОВ, ПРОФ.Д-Р АСЕН ГЕОРГИЕВ БАЛТОВ, ИВАН ГЕОРГИЕВ ПОРОМАНСКИ",02/9154290,"р-н Красно село бул. ""Тотлебен"" 21",СОФИЯ 02 рн КРАСНО СЕЛО,21,"р-н Красно село бул. ""Тотлебен""","р-н Красно село бул. ""Тотлебен"" 21, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
УНИВЕРСИТЕТСКА І МБАЛ СОФИЯ СВ. ЙОАН КРЪСТИТЕЛ ЕАД,София (столица),СОФИЯ 01 рн СРЕДЕЦ,СОФИЯ 01 рн СРЕДЕЦ,"р-н ""Средец"", бул. ""Патриарх Евтимий"" 37","АННА МИЛЧЕВА ЛЕЧЕВА, Д-Р МИХАИЛ НЕНОВ НИКОЛОВСКИ, ПРОФ. Д-Р ЦВЕТОМИР ИВАНОВ ДИМИТРОВ",8059203,"р-н ""Средец"", бул. ""Патриарх Евтимий"" 37",СОФИЯ 01 рн СРЕДЕЦ,37,"р-н ""Средец"", бул. ""Патриарх Евтимий""","р-н ""Средец"", бул. ""Патриарх Евтимий"" 37, СОФИЯ 01 рн СРЕДЕЦ, България",,,,,0
УСБАЛЕ АКАД.ИВАН ПЕНЧЕВ ЕАД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,"ул. ""Здраве"" 2","МАРИЯ МИТКОВА ОРБЕЦОВА, ПРОФ. Д-Р САБИНА ЗАХАРИЕВА ЗАХАРИЕВА",8181500,"ул. ""Здраве"" 2",СОФИЯ 10 рн ТРИАДИЦА,2,"""Здраве""","ул. ""Здраве"" 2, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
УСБАЛО ПРОФ. БОЙЧО БОЙЧЕВ ЕАД СОФИЯ,София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,бул. Никола Петков 56,"ВАЛЕНТИН НИКОЛОВ АНГЕЛОВ, ЕВГЕНИЙ ЛЮЦКАНОВ МЕДНИКАРОВ, Д-Р БОЯН БОЯНОВ ХРИСТОВ",8181500,бул. Никола Петков 56,СОФИЯ 18 рн ОВЧА КУПЕЛ,56,Никола Петков,"бул. Никола Петков 56, СОФИЯ 18 рн ОВЧА КУПЕЛ, България",,,,,0
УСБАЛО Проф. Иван Черноземски''ЕАД СОФИЯ,София (столица),СОФИЯ 16 рн СТУДЕНТСКИ,СОФИЯ 16 рн СТУДЕНТСКИ,ул. Пловдивско поле 6,"ДОЦ. Д-Р ДИМИТЪР ВЪЛЧИНОВ ДИМИТРОВ, Д.М., СТРАШИМИР ИВАНОВ КАРАНОВ, ДОЦ. Д-Р ЗДРАВКА ГЪРДЕВА ВАСИЛЕВА-ВАЛЕРИАНОВА, Д-Р ПЕТРАНКА ПЕТРОВА КЪНЕВА-ТРОЯНОВА, Д-Р МИХАИЛ ИВАНОВ ШИНДОВ, Д-Р ВАЛЕНТИН НИКОЛОВ АНГЕЛОВ, ПРОФ. Д-Р ПАНАЙОТ ФОТЕВ КУРТЕВ, Д-Р СТЕФАН КОНСТАНТИНОВ КОНСТАНТИНОВ, ПАНАЙОТ ФОТЕВ КУРТЕВ, ВЛАДИМИР ВАСЕВ ДАСКАЛОВ",8076299,ул. Пловдивско поле 6,СОФИЯ 16 рн СТУДЕНТСКИ,6,Пловдивско поле,"ул. Пловдивско поле 6, СОФИЯ 16 рн СТУДЕНТСКИ, България",,,,,0
ЦКВЗ Пловдив ЕООД,Пловдив,ПЛОВДИВ,Пловдив,"р-н „Южен“, ул. „Даме Груев“ 1а","Д-Р БОЯН БРАНКОВ КОСТОВ, ЕЛЕНА ДИМИТРОВА ДЯКОВА, СТОЯН ДИМИТРОВ ШУМАНОВ",032606535,"р-н „Южен“, ул. „Даме Груев“ 1а",Пловдив,1а,"р-н „Южен“, ул. „Даме Груев“","р-н „Южен“, ул. „Даме Груев“ 1а, Пловдив, България",,,,,0
ЦПЗ ПРОФ Н ШИПКОВЕНСКИ ЕООД,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,"Р-Н ""ОБОРИЩЕ"", УЛ. ""ЕКЗАРХ ЙОСИФ"" 59","АНА ДИМИТРОВА ПОПОВА-ВЪРБАНОВА, ГЪЛЪБИНА ПЕТРОВА ТАРАШОЕВА","9816061, 9818166","Р-Н ""ОБОРИЩЕ"", УЛ. ""ЕКЗАРХ ЙОСИФ"" 59",СОФИЯ 04 рн ОБОРИЩЕ,59,"Р-Н ""ОБОРИЩЕ"", УЛ. ""ЕКЗАРХ ЙОСИФ""","Р-Н ""ОБОРИЩЕ"", УЛ. ""ЕКЗАРХ ЙОСИФ"" 59, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
ЮЗБ,Благоевград,ПЕТРИЧ; САНДАНСКИ,Петрич; Сандански,УЛ. РОКФЕЛЕР 52; ПАРКОВА ЗОНА; УЛ. СВОБОДА 1,ИЛИЯ СТОЯНОВ ТОНЕВ,"074/201016, 074/201047","УЛ. РОКФЕЛЕР 52; ПАРКОВА ЗОНА; УЛ. СВОБОДА 1, ",Петрич; Сандански,1,РОКФЕЛЕР,"УЛ. РОКФЕЛЕР 52; ПАРКОВА ЗОНА; УЛ. СВОБОДА 1, Петрич; Сандански, България",,,,,0
“СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО КАРДИОЛОГИЯ” ЕАД,Плевен,ПЛЕВЕН,Плевен,"ул. ""Ген. Вл. Вазов"" 91-II кл. база; ул. ""Пиер Кюри"" 2","ДАНИЕЛА ДИМИТРОВА МАКАВЕЕВА, МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ, СОТИР ТОДОРОВ МАРЧЕВ, Д-Р ВАЛЕНТИН ВЕНЦИСЛАВОВ ХРИСТОВ, ПРОФ.Д-Р НИКОЛАЙ ГРИГОРОВ ДИМИТРОВ","064/804480, 064/884480","ул. ""Ген. Вл. Вазов"" 91-II кл. база; ул. ""Пиер Кюри"" 2",Плевен,2,"""Ген. Вл. Вазов""","ул. ""Ген. Вл. Вазов"" 91-II кл. база; ул. ""Пиер Кюри"" 2, Плевен, България",,,,,0
„ДИАЛИЗЕН ЦЕНТЪР – ДРУЖБА“ ООД,София (столица),СОФИЯ 14 рн ИСКЪР,СОФИЯ 14 рн ИСКЪР,"Гр. София, ул. ""Искърско шосе"" 19",Д-Р НИКОЛАЙ ГЕОРГИЕВ ТОДОРОВ,,"Гр. София, ул. ""Искърско шосе"" 19",СОФИЯ 14 рн ИСКЪР,19,"Гр. София, ул. ""Искърско шосе""","Гр. София, ул. ""Искърско шосе"" 19, СОФИЯ 14 рн ИСКЪР, България",,,,,0
