Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Александровска №78,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170"
"МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Транспортна №33,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170"
"МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,ул. Иван Вазов №11,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170"
"МЕДИЦИНСКИ ЦЕНТЪР УРОЛОДЖИЯ ЕООД",Хасково,ХАСКОВО,ГР.ХАСКОВО,ул. Средна Гора 1,ИВАН НИКОЛАЕВ НИКОЛОВ,0888360636
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХАРМАНЛИ ЕООД",Хасково,ХАРМАНЛИ,ГР.ХАРМАНЛИ,ул. Васил Левски №66,"Д-Р ЗЛАТКА ГЕОРГИЕВА ЧАНКОВА, ДИНЧО ГЕНЕВ ГЕНЕВ, ВОЛОДИ ХРИСТОВ ХРИСТОВ","0373/82189"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА ЕКАТЕРИНА - ДИМИТРОВГРАД ЕООД",Хасково,ДИМИТРОВГРАД,ГР.ДИМИТРОВГРАД,ул. Христо Ботев №29,"АЛДИН ХИТОВ КАРАГЬОЗОВ, МАТЕЙ АСЕНОВ МАТЕЕВ, ЗДРАВКО АНГЕЛОВ НАКОВ","0391/63436,0391/63699,0391/64024"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД",Бургас,БУРГАС,ГР.БУРГАС,бул. Стефан Стамболов №73 приземен етаж ет.1 и част от ет.2 от Терапевтичен корпус /блок 3/,"ХАРЛИН СТОЯНОВ ТУМБЕВ, ЖИВКО СТОЙКОВ КОЛЕВ","02/9625454"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД",Бургас,БУРГАС,ГР.БУРГАС,УПИ VII-842 кв.68 по плана на ПЗ Север,"ХАРЛИН СТОЯНОВ ТУМБЕВ, ЖИВКО СТОЙКОВ КОЛЕВ","02/9625454"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД",Бургас,БУРГАС,ГР.БУРГАС,ул. Здраве №29,"ХАРЛИН СТОЯНОВ ТУМБЕВ, ЖИВКО СТОЙКОВ КОЛЕВ","02/9625454"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ХИГИЯ ООД",Хасково,ХАСКОВО,ГР.ХАСКОВО,ул. Стефан Стамболов №2,"ЯСЕН ГЕОРГИЕВ ЯНЕВ, АТАНАС ПАУНОВ ПАУНОВ, ПЛАМЕН ХРИСТОВ ЙОВЧЕВ","038606231,622535"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ГР. СРЕДЕЦ",Бургас,СРЕДЕЦ,ГР.СРЕДЕЦ,ул. Тодор Николов №10,"ВЪЛЬО НИКОЛОВ КОМНЕВ, ЧАВДАР ХРИСТОВ КАРАБАДЖАКОВ, Д-Р ВЪЛЬО НИКОЛОВ КОМНЕВ, ИВАЙЛО ЦАНЕВ ЦАНЕВ, ГЕОРГИ ХРИСТОВ ГЕОРГИЕВ, СТЕЛИЯН ПРОДАНОВ СЛАВОВ, ДАНИЕЛА ПРОДАНОВА БOЗДУКОВА, Д-Р РОСИЦА ВЕЛИКОВА ДИЧЕВА","05551/3560,0887/640699"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ЛАЙФ ХОСПИТАЛ ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ж.к. Изгрев бул. Димитър Димов /Панорамен път/,"Д-Р МАРИЯ СТАВРЕВА ДИМИТРОВА, Д-Р СПАСИМИР СТЕФАНОВ ИВАНОВ","056/875041,08886/833493"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ЛАЙФ ХОСПИТАЛ ЕООД",Бургас,НЕСЕБЪР,ГР.СВЕТИ ВЛАС,ул. Ивайло №11А,"Д-Р МАРИЯ СТАВРЕВА ДИМИТРОВА, Д-Р СПАСИМИР СТЕФАНОВ ИВАНОВ","056/875041,08886/833493"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - СВИЛЕНГРАД ЕООД",Хасково,СВИЛЕНГРАД,ГР.СВИЛЕНГРАД,ул. Сан Стефано 1,"Д-Р ДИМИТЪР АНГЕЛОВ ЕРМОВ, РАДОСТ МИТЕВА СКЕРЛЕВА","037974071,037971534"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХАСКОВО АД",Хасково,ХАСКОВО,ГР.ХАСКОВО,бул. Съединение №49,"ГЕОРГИ НИКОЛОВ ГЕЛОВ, ДИМИТЪР ГЕОРГИЕВ ШОПОВ, ТОДОР ДИМИТРОВ ПАНДОВ, СЛАВЧО СОТИРОВ БЛИЗНАКОВ","038/606722,038/606999"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ Д-Р МАДЖУРОВ ООД",Бургас,БУРГАС,ГР.БУРГАС,ж.к. Зорница срещу бл.15,"Д-Р АЛЕКСАНДЪР ГЕОРГИЕВ МАДЖУРОВ, Д-Р ГЕОРГИ АЛЕКСИЕВ МАДЖУРОВ","056/877940,0888305819,056/877950,0897/841214,056/865730"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ КАРНОБАТ ЕООД",Бургас,КАРНОБАТ,ГР.КАРНОБАТ,ул. Стара планина №180,"Д-Р НИКОЛАЙ МИХАЙЛОВ КОЛИБАРОВ, КРАСИМИР ИВАНОВ МАРИНОВ, ХРИСТО ХРИСТОВ ИВАНОВ","0559/27054,0893/041718"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-АЙТОС ЕООД",Бургас,АЙТОС,ГР.АЙТОС,ул. Шейново №4,"ГЮЛНАР ВЕЛИ ХАБИЛ, ПАРУШ ДИМИТРОВ ПАРУШЕВ, ЗЛАТИНА КИРОВА ИВАНОВА",0898/357354
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-БУРГАСМЕД ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ж.к. Меден Рудник зона А,"Д-Р СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ, Д-Р ПЕНКО МИНЧЕВ ПЕНКОВ, БОЙКО ГЕОРГИЕВ МИРАЗЧИЙСКИ, ТОДОР ВАСИЛЕВ УШЕВ, ЗАПРИН ТОДОРОВ ПЕПЕЛОВ, ДИНЧО ГЕНЕВ ГЕНЕВ","056/999980,056/707602"
