Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"МБПЛР СЕРДИКА ЕООД",София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,бул. Монтевидео №21,"Д-Р ВИОЛЕТА ТОНЧЕВА МАГАЕВА, Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р СПАС ИГНАТОВ ИГОВ","0888949958"
"МБПЛР Стамболийски ЕООД",Пловдив,СТАМБОЛИЙСКИ,ГР.СТАМБОЛИЙСКИ,бул. Дунав №43,"МАРИЯ ГЕОРГИЕВА ГАНЧЕВСКА-ЦАРЕВА, Д-Р НИКОЛАЙ СТАНЧЕВ СТАНЧЕВ","0339/62296, 0888534323, 0339/62434, 0888836428"
"МБПЛР Стамболийски ЕООД",Пловдив,СТАМБОЛИЙСКИ,ГР.СТАМБОЛИЙСКИ,бул. Марица №31,"МАРИЯ ГЕОРГИЕВА ГАНЧЕВСКА-ЦАРЕВА, Д-Р НИКОЛАЙ СТАНЧЕВ СТАНЧЕВ","0339/62296, 0888534323, 0339/62434, 0888836428"
"МДЦ ВИЗИОДЕНТ ЕООД",Пловдив,АСЕНОВГРАД,ГР.АСЕНОВГРАД,ул. Съединение №17 ет.1 и ет.2,Д-Р ПЕТКО ГЕОРГИЕВ ПЕТРОВ,"0898320012"
"МДЦ ВИЗИОДЕНТ ЕООД",Пловдив,АСЕНОВГРАД,ГР.АСЕНОВГРАД,ул. Съединение №13 ет.1 и ет.2,Д-Р ПЕТКО ГЕОРГИЕВ ПЕТРОВ,"0898320012"
"МДЦ НЕВРОКОП ООД",Благоевград,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,ул. Стара Планина №7 вх. В,ГЕОРГИ НИКОЛОВ МЕГДАНОВ,"0751/60222, 0899/941357"
"МЕДИЦИНСКИ ЦЕНТЪР БАЛКАНМЕД ООД",София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Струма №6 партер,"Д-Р МИХАЕЛА ВАСКОВА ПЕТРОВА, Д-Р ВИКТОР АСПАРУХОВ КАМБУРОВ","0889313050"
"МЕДИЦИНСКИ ЦЕНТЪР СВЕТЛИНА ЕООД",София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Княгиня Мария Луиза №191 ет.2,СТЕФАН НЕДКОВ НЕДЕВ,
"МИ МВР СОФИЯ",София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,бул. Ген. М. Скобелев №79,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, ГЕНО КИРОВ КИРОВ, ПРОФ. Д-Р ДАНИЕЛА ВАЛЕНТИНОВА МОНОВА, ДОЦ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ","02/9821509"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Пиер Кюри №2,"ЛЮБА МАРТИНОВА МИТЕВА-ВАСИЛЕВА, ЕЛЕНА ГЕОРГИЕВА НОЕВА","0878859167"
"МС Здраве Пазарджик",Пазарджик,ПАЗАРДЖИК,ГР.ПАЗАРДЖИК,ул. Константин Величков №50,"МАРИАНА ИВАНОВА ДИНКОВА, ЦВЕТАНКА ПЕТРОВА ЛЕПАРОВА, ЙОРДАН ЛЮБЕНОВ ПЕЛЕВ, СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ","034/406133"
"МТБ-Пловдив",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Колхида - продължение,"Д-Р ПЛАМЕН ДИМИТРОВ ПАВЛОВ, ПЛАМЕНКА АНАСТАСОВА КАРАКАШЕВА, НИКОЛАЙ ЗАБУНОВ, ОГНЯН АЛЕКСАНДРОВ НАЙДЕНОВ","032/674658, 032/674659"
"МЦ - ХИПОКРАТ ООД",Кюстендил,ДУПНИЦА,ГР.ДУПНИЦА,пл. Свобода №1 ет.4 каб. 203 и 204,"БОЙКО ГЕОРГИЕВ КЮЧУКОВ, БОРИСЛАВ ЙОРДАНОВ СОКОЛОВ","0701/52433, 0887517652"
"МЦ АВАНГАРД 1 ЕООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Знаме №4А ет.2,Д-Р МАРИНА СТЕФАНОВА ГРОЗДЕВА,"0899176363"
"МЦ АСКЛЕПИЙ ООД",Кюстендил,САПАРЕВА БАНЯ,ГР.САПАРЕВА БАНЯ,ул. Германея №38 ет.2,КРУМ БОГДАНОВ БОНЕВ,"0701/50616"
"МЦ АСКЛЕПИЙ ООД",Кюстендил,ДУПНИЦА,ГР.ДУПНИЦА,пл. Свобода №1,КРУМ БОГДАНОВ БОНЕВ,"0701/50616"
"МЦ АСКЛЕПИЙ ООД",Кюстендил,ДУПНИЦА,ГР.ДУПНИЦА,ул. Солун №4 ет.4,КРУМ БОГДАНОВ БОНЕВ,"0701/50616"
"МЦ БЕТА КЛИНИК ООД",София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Черни Връх №14 партер,"РОСЕН СИЛВИЕВ ГЕОРГИЕВ, РОСЕН СИЛВИЕВ ГЕОРГИЕВ ЧРЕЗ ПЪЛНОМОЩНИК КАЛИНА МИЛКОВА МИХАЙЛОВА","0884923192"
"МЦ ВЕРЕЯ ЕООД",Стара Загора,СТАРА ЗАГОРА,ГР.СТАРА ЗАГОРА,бул. Митрополит Методий Кусев №9 каб. №1 каб. №2 и каб. №3,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,"042/601460"
"МЦ ВЕРЕЯ ЕООД",Стара Загора,СТАРА ЗАГОРА,ГР.СТАРА ЗАГОРА,ул. Кенали №4,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,"042/601460"
"МЦ ВЕРЕЯ ЕООД",Стара Загора,КАЗАНЛЪК,ГР.КАЗАНЛЪК,ул. Александър Батенберг №1,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,"042/601460"
"МЦ ВЕРЕЯ ЕООД",Стара Загора,КАЗАНЛЪК,ГР.КАЗАНЛЪК,ул. Стара Планина №12 ет.3 каб. №82,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,"042/601460"
"МЦ ВИЗИО-ЛМ",Благоевград,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,ул. Шар Планина №26А,ЙОРДАН ЛЮБЕНОВ ТУМБЕВ,"0885/755607"
"МЦ ВИЗИО-ЛМ",Благоевград,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,ул. Мара Бунева №5,ЙОРДАН ЛЮБЕНОВ ТУМБЕВ,"0885/755607"
"МЦ Вита Медика ЕООД",Разград,РАЗГРАД,ГР.РАЗГРАД,ул. Странджа №9,ЕВГЕНИЯ АНДРЕЕВА КЕРЧЕВА,"0898492315, 084/656656"
"МЦ Вита Медика ЕООД",Разград,РАЗГРАД,ГР.РАЗГРАД,бул. Бели Лом №56 вх. В ап. 48,ЕВГЕНИЯ АНДРЕЕВА КЕРЧЕВА,"0898492315, 084/656656"
"МЦ Витамед ЕООД",Пловдив,КАРЛОВО,ГР.КАРЛОВО,ул. Ген. Карцов №36 ет.1 и ет.2,"Д-Р СТАНИМИР МАРИНОВ ЧЕШМЕДЖИЕВ, ВЕРКА ВЕЛЕВА ДОНЧЕВА","0335/92104, 0335/98872"
"МЦ Витамед ЕООД",Пловдив,КАРЛОВО,ГР.КАРЛОВО,ул. Тодор и Ана Пулеви №18 ет.1 2 и 3,"Д-Р СТАНИМИР МАРИНОВ ЧЕШМЕДЖИЕВ, ВЕРКА ВЕЛЕВА ДОНЧЕВА","0335/92104, 0335/98872"
"МЦ Витамед ЕООД",Пловдив,КАРЛОВО,ГР.КАРЛОВО,ул. Ген. Гурко Мархолев №3,"Д-Р СТАНИМИР МАРИНОВ ЧЕШМЕДЖИЕВ, ВЕРКА ВЕЛЕВА ДОНЧЕВА","0335/92104, 0335/98872"
"МЦ Д-Р НИКОЛА ВАСИЛИЕВ ЕООД",Кюстендил,КЮСТЕНДИЛ,ГР.КЮСТЕНДИЛ,пл. 17-ти януари №1,"БОРИСЛАВ АЛЕКСАНДРОВ БОРИСОВ, ЕМИЛ ЗИНОВИЕВ ЛАЗОВ, ЛЮДМИЛ СТОЯНОВ СПАСОВ, РУМЯНА ИВАНОВА ВАСЕВА","078/550261"
"МЦ Д-Р НИКОЛА ВАСИЛИЕВ ЕООД",Кюстендил,КЮСТЕНДИЛ,ГР.КЮСТЕНДИЛ,ул. Яворов №6 к-ти 98 99 109 219 и 405,"БОРИСЛАВ АЛЕКСАНДРОВ БОРИСОВ, ЕМИЛ ЗИНОВИЕВ ЛАЗОВ, ЛЮДМИЛ СТОЯНОВ СПАСОВ, РУМЯНА ИВАНОВА ВАСЕВА","078/550261"
"МЦ ЗА ОЧНО ЗДРАВЕ ФОКУС ЕООД",София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Българска морава №123,Д-Р АНЕТА ЛУКАНОВА МИШЕВА,"02/9834581"
"МЦ Здраве Разград ООД",Разград,РАЗГРАД,ГР.РАЗГРАД,ул. В. Левски №1,"НИКОЛАЙ СТЕФАНОВ КОЛЕВ, Д-Р АННА АЛЕКСИЕВА, Д-Р ЕЛЕНА ВАСИЛЕВА МАРИНОВА, НИКОЛА САИД АШКАР","0899875187, 084/316826, 084/316825, 084/662582, 0889834323"
"МЦ КЛИНИКА СВЕТА МАРИЯ МАГДАЛЕНА ЕООД",София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Бяло море №25,Д-Р КРУМ ПЕТРОВ КРУМОВ,"0888755348, 0887513634"
"МЦ КЛИНИКА СВЕТА МАРИЯ МАГДАЛЕНА ЕООД",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Д-р Стефан Сарафов №72,Д-Р КРУМ ПЕТРОВ КРУМОВ,"0888755348, 0887513634"
"МЦ Литомед ООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,бул. Ал. Стамболийски №31,"Д-Р ВАСИЛ ЛИЛЯНОВ ИВАНОВ, ЗДРАВКО КАБАДОЗОВ","032/668566, 0888199071, 0888397806"
"МЦ Литомед ООД",Пловдив,РОДОПИ,С.БРАНИПОЛЕ,Местност Герена №020 Г,"Д-Р ВАСИЛ ЛИЛЯНОВ ИВАНОВ, ЗДРАВКО КАБАДОЗОВ","032/668566, 0888199071, 0888397806"
"МЦ Луксор EООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,бул. България №59,"Д-Р ДИМИТЪР ГЕОРГИЕВ ТАСКОВ, НИНА СТАНЕВА СТОЯНОВА","032/968881"
"МЦ Луксор EООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,бул. България №47А ет.1 каб. №1 №3 №4 и №5,"Д-Р ДИМИТЪР ГЕОРГИЕВ ТАСКОВ, НИНА СТАНЕВА СТОЯНОВА","032/968881"
"МЦ Надежда ООД",Благоевград,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,ж.к. Запад бл.11 партер оперативен блок,НАДЕЖДА ВЕСЕЛИНОВА КОСТАДИНОВА-ГОЦЕВА,"073/833192, 0897978363"
"МЦ ОЧЕН ЛАЗЕРЕН ЦЕНТЪР ВИЖЪН ЕООД",София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,ул. Виктор Григорович №8,"ЕЛЕНА НЕЙЧЕВА КУМБИЕВА, ЕЛЕНА АТАНАСОВА ДАРДЖИКОВА, ЕЛЕНА АТАНАСОВА ПЕШЕВА","02/9515037"
"МЦ ОЧЕН ЛАЗЕРЕН ЦЕНТЪР ВИЖЪН ЕООД",София (столица),СОФИЯ 14 рн ИСКЪР,СОФИЯ 14 рн ИСКЪР,бул. Проф. Цветан Лазаров №86,"ЕЛЕНА НЕЙЧЕВА КУМБИЕВА, ЕЛЕНА АТАНАСОВА ДАРДЖИКОВА, ЕЛЕНА АТАНАСОВА ПЕШЕВА","02/9515037"
"МЦ Оксиком ООД",Бургас,БУРГАС,ГР.БУРГАС,к-с Изгрев бл.28А партер,Д-Р НЕЛИ ВЕЛИЧКОВА ДЖОКОВА,"0885604145, 0887831030, 056/860210, 056/860839"
"МЦ Оксиком ООД",Бургас,БУРГАС,ГР.БУРГАС,бул. Д. Димов,Д-Р НЕЛИ ВЕЛИЧКОВА ДЖОКОВА,"0885604145, 0887831030, 056/860210, 056/860839"
"МЦ ПЕНТАГРАМ 2012 ООД",София (столица),СОФИЯ 12 рн ИЛИНДЕН,СОФИЯ 12 рн ИЛИНДЕН,ул. Враня №109-111,"Д-Р ВЕСЕЛИН ТОДОРОВ ДАСКАЛОВ, Д-Р КОНСТАНЦА ТОШЕВА ДАСКАЛОВА","0878974419"
"МЦ ПО ОЧНИ БОЛЕСТИ Д-Р МАРИНОВИ ООД",Шумен,ШУМЕН,ГР.ШУМЕН,ул. Цар Освободител №100,МАРИН ГЕОРГИЕВ МАРИНОВ,"0899496044, 0896540090"
"МЦ РВД ЗДРАВЕ ООД СОФИЯ",София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Тракия №46,"Д-Р ВЕРГИЛ ЙОНЧЕВ ЧУКОВ, СТОЙЧО ТОДОРОВ КАЦАРОВ, Д-Р ДИМИТЪР ИВАНОВ ТОПЧИЙСКИ, Д-Р МАЯ ТОНОВА КАМЕНОВА","02/8462016"
"МЦ Ре Спиро ООД",Разград,РАЗГРАД,ГР.РАЗГРАД,ул. Кирил и Методий №2 вх. А ет. 1 ап. 3,ИВАН АТАНАСОВ КИСЕЛОВ,"0886430823"
"МЦ Ре Спиро ООД",Разград,РАЗГРАД,ГР.РАЗГРАД,пл. Момина чешма №1 вх. Д,ИВАН АТАНАСОВ КИСЕЛОВ,"0886430823"
"МЦ Ре Спиро ООД",Разград,РАЗГРАД,ГР.РАЗГРАД,ул. Иван Вазов №19,ИВАН АТАНАСОВ КИСЕЛОВ,"0886430823"
"МЦ СВЕТА МАРИНА-ДИАГНОСТИКА И ТЕРАПИЯ ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,местност Русково бърдо,"Д-Р ЖИТИАН АЛЕКСАНДРОВ АТАНАСОВ, ПРОФ. Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/806838, 064/8181, 064/805666"
"МЦ СВЕТА МАРИНА-ДИАГНОСТИКА И ТЕРАПИЯ ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Цар Симеон №23,"Д-Р ЖИТИАН АЛЕКСАНДРОВ АТАНАСОВ, ПРОФ. Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/806838, 064/8181, 064/805666"
"МЦ СВЕТА МАРИНА-ДИАГНОСТИКА И ТЕРАПИЯ ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,пл. Възраждане №1,"Д-Р ЖИТИАН АЛЕКСАНДРОВ АТАНАСОВ, ПРОФ. Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/806838, 064/8181, 064/805666"
"МЦ Света Ана ООД",Враца,ВРАЦА,ГР.ВРАЦА,бул. Демокрация №17 и №23,Д-Р АДРИЯН ИВАНОВ НИКОЛОВ,"092/663060"
"МЦ Света Елисавета -Раковски ЕООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Велико Търново №21,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033"
"МЦ Света Елисавета -Раковски ЕООД",Пловдив,БРЕЗОВО,ГР.БРЕЗОВО,ул. Георги Димитров №25 ет.1,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033"
"МЦ Света Елисавета -Раковски ЕООД",Пловдив,РАКОВСКИ,ГР.РАКОВСКИ,ул. Васил Петлешков №1,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033"
"МЦ Света Елисавета -Раковски ЕООД",Пловдив,РАКОВСКИ,С.БЕЛОЗЕМ,ул. Родопи №43 сутерен ет.1 и ет.2,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033"
"МЦ-Ловеч ЕООД",Ловеч,ЛОВЕЧ,ГР.ЛОВЕЧ,ул. С.Съев №27,"ИВЕЛИН ЦАНКОВ ЙОЦОВ, ПРАВДА ТРИФОНОВА ГЕНОВА-ПЕТКОВА, ДОНКА ПЕНЧЕВА МИНКОВА, ИЛИЯНА ПЕНЕВА КАЗАКОВА, АЛДИН ДОЧЕВ НАЧКОВ","068/667238, 0896717669, 0878792666, 0896717671, 0888465411"
"МЦ-МЕДИЦИНСКИ КОМПЛЕКС БЕРОЕ ЕООД",Стара Загора,СТАРА ЗАГОРА,ГР.СТАРА ЗАГОРА,ул. Герасим Папазчев №1,Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ,"042/919402, 0892257396"
"МЦ-МЕДИЦИНСКИ КОМПЛЕКС БЕРОЕ ЕООД",Стара Загора,КАЗАНЛЪК,ГР.КАЗАНЛЪК,ул. Христо Ботев №78 ет.1 каб. №3,Д-Р НИКОЛАЙ НЕШЕВ САЛУТСКИ,"042/919402, 0892257396"
"МЦО РЕСБИОМЕД ЕООД",София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Алдомировска №144,АЛЕКСАНДЪР АНГЕЛОВ АНГЕЛОВ,"070018484"
"Медикус Алфа СХБАЛ ЕООД Пловдив",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Велико Търново №21,Д-Р ДИНКО МЛАДЕНОВ ГОСПОДИНОВ,"032/634463, 0898416038"
"Медицински център 1 Стамболийски ЕООД",Пловдив,СТАМБОЛИЙСКИ,ГР.СТАМБОЛИЙСКИ,бул. Дунав №43 ет.1 и ет.2,"ИЛИЯ КИРИЛОВ КИРЯКОВ, КРАСИМИРА СТОЙНЕВА КАЛЧЕВА, Д-Р МАРИЯ ГЕОРГИЕВА ГАНЧЕВСКА-ЦАРЕВА","0339/62297, 0888836428"
"Многопрофилна болница за активно лечение ЕАД гр. Гълъбово",Стара Загора,ГЪЛЪБОВО,ГР.ГЪЛЪБОВО,ул. Алеко Константинов №10,Д-Р ГОШО ХРИСТОВ ГРОЗЕВ,"0418/62415, 0889522041"
"Многопрофилна болница за активно лечение Свети Иван Рилски Габрово ЕООД",Габрово,ГАБРОВО,ГР.ГАБРОВО,бул. Трети март №9,"ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, ИНА СТОЯНОВА ФИЛИПОВА","0884494924"
"Многопрофилна областна болница за активно лечение Д-р Стефан Черкезов АД гр. Велико Търново",Велико Търново,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,ул. Ниш №1,"Д-Р КРАСИМИР ТОДОРОВ ПОПОВ, ЛЮДМИЛ ХАРАЛАМБЕВ ГЕЦОВ, Д-Р СТЕФАН ФИЛЕВ ФИЛЕВ, ДАНИЕЛ СТЕФАНОВ ИЛИЕВ","062/678900, 062/640916"
"НМТБ ЦАР БОРИС ІІІ СОФИЯ",София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Княгиня Мария Луиза №108 и №104,"НИКОЛАЙ ГЕОРГИЕВ ЧЕРВЕНЯКАВ, РАЙКО СТЕФАНОВ ЦВЕТКОВ, ПРОФ. Д-Р ХРИСТО ГЕОРГИЕВ ЦЕКОВ, ГЕОРГИ ЕДРЕВ ЕДРЕВ","02/8324055, 02/8323004"
"НСБФТР ЕАД СОФИЯ",София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,бул. Овча купел №2В,"Д-Р ЙОРДАН МЕТОДИЕВ ИВАНЧЕВ, ТАТЯНА ГАНЧЕВА АНГЕЛОВА, АНТОН ЕВГЕНИЕВ ЖИВКОВ, ГАЛИНА ПЕТКОВА ПАВЛОВА","02/9555273, 02/8555022"
"НефроЛайф България - Специализирани центрове по хемодиализаООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Транспортна,Д-Р НИКОЛАЙ ГЕОРГИЕВ ТОДОРОВ,"0878925945"
"ОЧЕН МЦ ТРОШЕВ ООД",Стара Загора,СТАРА ЗАГОРА,ГР.СТАРА ЗАГОРА,бул. Митрополит Методий Кусев №61,Д-Р СТАНИМИР ДЕНЧЕВ ТРОШЕВ,"0887552768, 042/630053"
"ПЪРВА ЧАСТНА МБАЛ Враца ЕООД",Враца,ВРАЦА,ГР.ВРАЦА,ул. Скакля №6,"Д-Р ПЛАМЕН ЦЕНОВ БЛАЖЕВ, Д-Р АНТОНИО ИЛИЕВ ГЕОРГИЕВ, Д-Р ДАРИН ВАСИЛЕВ ДРАГАНОВ","0887999091, 0878660501, 092/665757, 0878687646"
"ПЪРВА ЧАСТНА МБАЛ Враца ЕООД",Враца,ВРАЦА,ГР.ВРАЦА,бул. Втори юни №96А,"Д-Р ПЛАМЕН ЦЕНОВ БЛАЖЕВ, Д-Р АНТОНИО ИЛИЕВ ГЕОРГИЕВ, Д-Р ДАРИН ВАСИЛЕВ ДРАГАНОВ","0887999091, 0878660501, 092/665757, 0878687646"
"ПЪРВА ЧАСТНА МБАЛ Враца ЕООД",Враца,ВРАЦА,ГР.ВРАЦА,ул. ген. Леонов №93,"Д-Р ПЛАМЕН ЦЕНОВ БЛАЖЕВ, Д-Р АНТОНИО ИЛИЕВ ГЕОРГИЕВ, Д-Р ДАРИН ВАСИЛЕВ ДРАГАНОВ","0887999091, 0878660501, 092/665757, 0878687646"
"САГБАЛ Д-Р ЩЕРЕВ ЕООД СОФИЯ",София (столица),ГР.СОФИЯ,ГР.СОФИЯ,ул. Христо Благоев №25-31,НИКОЛА КОМНЕН МИЛАЧИЧ,"02/9200901, 02/9201827"
"САГБАЛ ЕВА ЕООД",Сливен,СЛИВЕН,ГР.СЛИВЕН,ул. Ичеренско шосе №11,"Д-Р НУРТЕН ОСМАНОВА ШЕКЕРОВА, ИБРЯМ АЛИЕВ МУСТАФОВ, СТЕФКА ИВАНОВА РАДКОВА","044/630101"
"САГБАЛ ЕВА ЕООД",Сливен,СЛИВЕН,ГР.СЛИВЕН,бул. Панайот Хитов №117,"Д-Р НУРТЕН ОСМАНОВА ШЕКЕРОВА, ИБРЯМ АЛИЕВ МУСТАФОВ, СТЕФКА ИВАНОВА РАДКОВА","044/630101"
"СБАЛ ГРЪБНАЧЕН ЦЕНТЪР АД",София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Ген. Николай Столетов №67А,"ЛЮБЧО ЦВЕТАНОВ ПЕНЕВ, Д-Р ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, ДЕСИСЛАВА ИВАНОВА ЛЮБЕНОВА","0894515618"
"СБАЛ ГРЪБНАЧЕН ЦЕНТЪР АД",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Св. Георги Софийски №3,"ЛЮБЧО ЦВЕТАНОВ ПЕНЕВ, Д-Р ДОБРОМИР ИЛИЕВ ИЛКОВСКИ, ДЕСИСЛАВА ИВАНОВА ЛЮБЕНОВА","0894515618"
"СБАЛ ЙОАН ПАВЕЛ ЕООД СОФИЯ",София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Ген. Столетов №67А,НЕБЕСНА ДИМИТРОВА БАЛДЖИЙСКА,"02/8320044"
"СБАЛ ПО КАРДИОЛОГИЯ ЯМБОЛ ЕАД",Ямбол,ЯМБОЛ,ГР.ЯМБОЛ,ул. Димитър Благоев №69,"СИДИКУЛАХ РАХИМИ, МАРИАН ТОДОРОВ ИНГЕЛИЕВ, БОРИС ПЕТКОВ ЧОРБАДЖИЙСКИ, БИСТРА СТОИЧКОВА ПЕШЕВА-МУСИЕВСКА, ПЕТЯ ИВАНОВА ДИНОВСКА, МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ","046/662215, 046/662377, 046/662389"
"СБАЛ ПФЗ Д-р Димитър Граматиков Русе ЕООД",Русе,РУСЕ,ГР.РУСЕ,ул. Алея Лилия №1,"СВЕТОСЛАВ ДАЧЕВ ДАЧЕВ, ДИМИТЪР СТОЯНОВ ГРАМАТИКОВ","082/813960"
"СБАЛ СВ. ЛАЗАР ООД СОФИЯ",София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Симеоновско шосе №4А,Д-Р ТИАНА ЛАЗАРОВА ДИМИТРИЕВА-НИКОЛОВА,"02/9622005"
"СБАЛ ФРМ МЕДИКА ООД Русе",Русе,РУСЕ,ГР.РУСЕ,ул. Рига №35,КИРИЛ ПАНАЙОТОВ ПАНАЙОТОВ,"0885304040"
"СБАЛ ФРМ МЕДИКА ООД Русе",Русе,РУСЕ,ГР.РУСЕ,ул. Независимост №2,КИРИЛ ПАНАЙОТОВ ПАНАЙОТОВ,"0885304040"
"СБАЛ по кардиология Варна ЕАД",Варна,ВАРНА,ГР.ВАРНА,бул. Цар Освободител №100,"Д-Р ХАРАЛИН СТОЯНОВ ТУМБЕВ, ПРОФ. Д-Р МЛАДЕН ВЛАДИМИРОВ ГРИГОРОВ, ПРОФ. Д-Р НИКОЛАЙ ЙОРДАНОВ ПЕНКОВ","052/648020, 052/603203"
"СБАЛ СПЕЦИАЛ МЕДИК ООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,пл. Понеделник пазар №5 ет.2 крило Изток и крило Юг,Д-Р ИНА СТОЯНОВА ФИЛИПОВА,"0884308925"
"СБАЛАГ МАЙЧИН ДОМ ЕАД СОФИЯ",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Здраве №2,"ПРОФ. ИВАН АТАНАСОВ КОСТОВ, Д-Р ВИКТОР БОРИСОВ ЗЛАТКОВ, Д-Р ДИМИТЪР МИТКОВ ДРАГИЕВ, МЕТОДИ ВАНГЕЛОВ ЯНКОВ, НИКОЛАЙ ИВАНОВ ДОГАНОВ","02/9172233, 02/8517291"
